,job_titles,company_names,loacations,job_type
0,Senior Python Developer,SURE International Technology -,"Cairo, Egypt",Full Time
1,Python Backend Developer,"Salney, Inc. -","Cairo, Egypt",Full Time
2,Senior Software Engineer - Python,Paymob Solutions -,"Maadi, Cairo, Egypt",Full Time
3,Python Back-End Developer (Part-Time),Snuggs Egypt -,"New Cairo, Cairo, Egypt",Work From Home
4,Python Developer,Andela -,"Cairo, Egypt",Part Time
5,Flask Python Backend Developer.,Virtual Worker Now -,"Cairo, Egypt",Freelance / Project
6,Senior Backend Developer (Python/Django),Valify -,"Maadi, Cairo, Egypt",Work From Home
7,Backend Developer (Python/Ruby),Nile University -,"Sheikh Zayed, Giza, Egypt",Full Time
8,Senior Python Linux Engineer,El-Sewedy Electrometer -,"6th of October, Giza, Egypt",Freelance / Project
9,Senior Python Developer,FlairsTech -,"Cairo, Egypt",Work From Home
10,Software Engineer - Backend Development (Python),Synapse Analytics -,"Cairo, Egypt",Full Time
11,Python Developer,FlairsTech -,"Cairo, Egypt",Work From Home
12,Software QA/Automation Engineer [Python],FlairsTech -,"Cairo, Egypt",Full Time
13,Python Developer,Anspire Agency -,"New Cairo, Cairo, Egypt",Full Time
14,Senior Quality Automation Engineer [Python],FlairsTech -,"Maadi, Cairo, Egypt",Full Time
15,Senior Backend (Python) Engineer - Customer Domain,Nana -,"Sheraton, Cairo, Egypt",Full Time
16,Python Developer - Focused on Cloud Automation,GIG Tech   -,"Cairo, Egypt",Work From Home
17,Senior Python Engineer,Brainology -,"Cairo, Egypt",Full Time
18,Data Analyst,INSITE OOH -,"Zamalek, Cairo, Egypt",Work From Home
19,Senior Odoo Developer,Ejadtech -,"Dokki, Giza, Egypt",Full Time
20,Web Application Intern,Ahram Security Group -,"10th of Ramadan City, Sharqia, Egypt",Full Time
21,Senior Software Engineer (BackEnd),GoTrah -,"Cairo, Egypt",Full Time
22,Senior Full Stack Developer,GoTrah -,"Cairo, Egypt",Internship
23,Linux Systems Admin / Engineer,Qeema -,"Masr Al Qadima, Cairo, Egypt",Full Time
24,Senior Back End Developer,Charisma Design -,"Cairo, Egypt",Full Time
25,Data Analyst,BBI-Consultancy -,"Heliopolis, Cairo, Egypt",Full Time
26,Robotics & Steam Instructor (for Kids),Edu-Zone -,"Cairo, Egypt",Full Time
27,Senior Data Management Engineer,BBI-Consultancy -,"Nasr City, Cairo, Egypt",Full Time
28,Devops Engineer,Andela -,"Cairo, Egypt",Full Time
29,Computer Vision Engineer,Atomica -,"Cairo, Egypt",Part Time
30,Lead Software Engineer,GoTrah -,"Cairo, Egypt",Full Time
31,Senior Devops Engineer,FlairsTech -,"Maadi, Cairo, Egypt",Full Time
32,Seionr Data Analyst,World of systems and software -,"New Cairo, Cairo, Egypt",Full Time
33,Senior Data Engineer,World of systems and software -,"New Cairo, Cairo, Egypt",Full Time
34,Junior Computer Vision Engineer,Western Mechatronics  -,"6th of October, Giza, Egypt",Full Time
35,Devops Engineer,Ejada (Cairo) -,"Cairo, Egypt",Full Time
36,Site Reliability Engineer (SRE),Qoyod -,"Cairo, Egypt",Full Time
37,Odoo ERP Consultant (Part Time),Smart IT -,"Cairo, Egypt",Part Time
38,Odoo ERP Consultant (Full Time),Smart IT -,"Cairo, Egypt",Full Time
39,Odoo Developer,Nahil Computers -,"Giza, Giza, Egypt",Full Time
40,Senior Software Engineer - Full Stack,ITWORX -,"Nasr City, Cairo, Egypt",Full Time
41,Data Scientist,CYSHIELD -,"Sheraton, Cairo, Egypt",Full Time
42,Full stack Java Developer,Zewail City -,"6th of October, Giza, Egypt",Full Time
43,Educational Quality Assurance Specialist,iSchool -,"Nasr City, Cairo, Egypt",Full Time
44,Senior Software Developer - Remote Egypt,Luxoft (A DXC Technology Company) -,"Cairo, Egypt",Work From Home
45,Odoo Developer,(MSA) October University -,"6th of October, Giza, Egypt",Full Time
46,Data Scientist,Chefaa IT -,"Maadi, Cairo, Egypt",Full Time
47,Cloud Solution Engineer - R&D,Link Datacenter -,"Giza, Egypt",Full Time
48,Cyber Security Engineer,axispay -,"Cairo, Egypt",Full Time
49,Senior DevOps Engineer,CYSHIELD -,"Sheraton, Cairo, Egypt",Full Time
50,Security Engineer- Pentester- Mobile (iOS & Andriod),Fixed Solutions -,"Sheraton, Cairo, Egypt",Work From Home
51,Odoo Developer,Yodawy -,"Cairo, Egypt",Full Time
52,Odoo Developer,Perfect Presentation -,"6th of October, Giza, Egypt",Full Time
53,Odoo Developer,Copartners -,"Nasr City, Cairo, Egypt",Full Time
54,Software Data Engineer,Target Recruitment  & HR Solutions  -,"Cairo, Egypt",Full Time
55,Cyber Security Data Engineer,Target Recruitment  & HR Solutions  -,"Cairo, Egypt",Full Time
56,Devops Engineer,E3mel Business for Financial & Managerial Consultancy -,"Maadi, Cairo, Egypt",Full Time
57,IOT Solution Engineer - Cairo,Consomity -,"Nasr City, Cairo, Egypt",Shift Based
58,Software Engineer (Ruby On Rails),Qoyod -,"Cairo, Egypt",Work From Home
59,ETL Developer,Gap Polymers  -,"Maadi, Cairo, Egypt",Full Time
60,Senior Linux System Engineer,Link Datacenter -,"Dokki, Giza, Egypt",Full Time
61,Data Management Specialist,M.Srour -,"Imbaba, Giza, Egypt",Full Time
62,Ruby on Rails Developer (Fluent in English),Fekra Technology Solutions and Construction -,"Dokki, Giza, Egypt",Full Time
63,Senior C++ Engineer (Remote Egypt),Luxoft (A DXC Technology Company) -,"Cairo, Egypt",Work From Home
64,Regular QA Automation Engineer - Remote Egypt,Luxoft (A DXC Technology Company) -,"Cairo, Egypt",Full Time
65,Ruby ON Rails Developer,Digital Experts  -,"Cairo, Egypt",Work From Home
66,Senior Back-End Software Engineer,Xpovi -,"New Cairo, Cairo, Egypt",Full Time
67,SRE - CI/CD Automation Engineer,Advansys ESC -,"Nasr City, Cairo, Egypt",Work From Home
68,Software Application Architect,YDS yasar digital services  -,"Sheikh Zayed, Giza, Egypt",Full Time
69,Backend Software Engineer [Python],FlairsTech -,"Cairo, Egypt",Full Time
70,Senior Data Engineer,Kalasko -,"Hurghada, Red Sea, Egypt",Full Time
71,SRE Engineer,Advansys ESC -,"Nasr City, Cairo, Egypt",Part Time
72,Technical Leader,Luxoft (A DXC Technology Company) -,"Cairo, Egypt",Full Time
73,DevOps Engineer (Remotely for USA),Mobile Wave 3 -,"Nasr City, Cairo, Egypt",Full Time
74,Senior Devops Engineer,STC Solutions - Egypt -,"Cairo, Egypt",Full Time
75,Senior Penetration Tester (On-Site),Union Coop -,"Dokki, Giza, Egypt",Full Time
76,Solutions Architect,Block Gemini -,"Mohandessin, Giza, Egypt",Full Time
77,Devops Engineer,Kortobaa LLC -,"Alexandria, Egypt",Full Time
78,Odoo Developer - Remotely (Urgently),Confidential -,"Cairo, Egypt",Full Time
79,Senior Odoo Developer,Archer Solutions -,"New Cairo, Cairo, Egypt",Part Time
80,Senior Devops Engineer,Confidential -,"Maadi, Cairo, Egypt",Work From Home
81,Data Analyst / Senior Data Analyst / Data Architect,National System LLC -,"New Cairo, Cairo, Egypt",Full Time
82,Devops Engineer,EXALT Technologies -,"Cairo, Egypt",Full Time
83,Senior Data Intelligence Engineer,ARROW Electronics  -,"Nasr City, Cairo, Egypt",Full Time
84,Chief Technology Officer,Mobile Wave 3 -,"Nasr City, Cairo, Egypt",Full Time
85,Backend Developer Node.JS,Kortobaa LLC -,"Alexandria, Egypt",Work From Home
86,Senior Machine Learning Engineer,Nana -,"Sheraton, Cairo, Egypt",Full Time
87,Devops Engineer,KnowledgeNet -,"Nasr City, Cairo, Egypt",Full Time
88,System Administrator,Premier Services and Recruitment -,"Smart Village, Giza, Egypt",Full Time
89,QA Automation Engineer - Cairo,EXALT Technologies -,"Cairo, Egypt",Full Time
90,Cloud Solutions Engineer,Ashtar.app -,"Maadi, Cairo, Egypt",Full Time
91,Regular QA Automation Engineer,Luxoft (A DXC Technology Company) -,"Cairo, Egypt",Full Time
92,Senior DevOps Engineer,WorkMotion -,"Maadi, Cairo, Egypt",Work From Home
93,DevOps Team Lead,Trufla -,"Heliopolis, Cairo, Egypt",Full Time
94,E-Commerce Tech Lead,Dimensions Cloud -,"Nasr City, Cairo, Egypt",Full Time
95,Devops Engineer,Techno-Ways -,"Nasr City, Cairo, Egypt",Full Time
96,Power BI Developer,Confidential -,"Maadi, Cairo, Egypt",Full Time
97,Back-End Developer,Reno Systems -,"Maadi, Cairo, Egypt",Work From Home
98,Senior C++ Software Developer,Luxoft (A DXC Technology Company) -,"Cairo, Egypt",Full Time
99,Front End Developer - Intern,Dottopia -,"Agouza, Giza, Egypt",Full Time
100,Desktop Applications Junior Developer,SIMS OFFSHORE -,"6th of October, Giza, Egypt",Full Time
101,Senior Data Scientist (m/f/d) - Remote Friendly,Sellics -,"Berlin, Germany",Internship
102,Senior Devops Engineer,Expleo -,"Maadi, Cairo, Egypt",Full Time
103,Data Scientist,Maxab -,"Maadi, Cairo, Egypt",Full Time
104,Senior Backend Engineer,LxT -,"Mohandessin, Giza, Egypt",Work From Home
105,Ruby on Rails Developer (Back End),Tays -,"New Cairo, Cairo, Egypt",Full Time
106,Junior Backend Developer,SSC Egypt -,"Cairo, Egypt",Full Time
107,Senior Backend Developer,SSC Egypt -,"Cairo, Egypt",Work From Home
108,Senior DevOps Engineer,SSC Egypt -,"New Cairo, Cairo, Egypt",Full Time
109,Senior Big Data Engineers,BBI-Consultancy -,"Abu Dhabi, United Arab Emirates",Work From Home
110,Software Engineer,Aseel -,"Cairo, Egypt",Full Time
111,Senior Technical Lead,Squadio -,"Alexandria, Egypt",Full Time
112,Full Stack Technical Lead,RDI -,"Dokki, Giza, Egypt",Work From Home
113,Algorithm Engineer,Tahaluf Al Emarat Technical Solutions -,"Cairo, Egypt",Full Time
114,NLP Engineer,Tahaluf Al Emarat Technical Solutions -,"Cairo, Egypt",Work From Home
115,Data Scientist,Fixed Solutions -,"Sheraton, Cairo, Egypt",Full Time
116,Senior Devops Engineer,Trufla -,"Heliopolis, Cairo, Egypt",Work From Home
117,NodeJS Backend Developer,Genwin -,"Obour City, Cairo, Egypt",Full Time
118,Junior Backend Engineer,LxT -,"Mohandessin, Giza, Egypt",Full Time
119,Devops Engineer,Beyond Solution -,"Maadi, Cairo, Egypt",Full Time
120,IT System Administrator,Sykes Enterprises -,"Cairo, Egypt",Full Time
121,Data Scientist,Paymob Solutions -,"Maadi, Cairo, Egypt",Full Time
122,Physics Research Assistant @ |AUC ⟩,Confidential -,"Giza, Egypt",Full Time
123,chat-bot Developer - India,Hakaya -,"New Delhi, India",Part Time
124,DevOps Engineer,IT Systems Corporation -,"6th of October, Giza, Egypt",Full Time
125,Odoo Developer,Pan Marine Group -,"Alexandria, Egypt",Part Time
126,Cloud Security Engineer,Softec Technologies -,"Cairo, Egypt",Work From Home
127,DevOps: Site Reliability Engineer/ Support Engineer.,Cegedim -,"New Cairo, Cairo, Egypt",Full Time
128,Senior DevOps Engineer.,Cegedim -,"New Cairo, Cairo, Egypt",Full Time
129,Odoo Developer,IT Systems Corporation -,"6th of October, Giza, Egypt",Full Time
130,Technical Artist,Limbic Entertainment (Cairo Office) -,"Sheraton, Cairo, Egypt",Full Time
131,Automation Test Engineer,Confidential -,"Cairo, Egypt",Full Time
132,AWS Devops Engineer,Confidential -,"Cairo, Egypt",Full Time
133,Devops Engineer,Contact -,"Downtown, Cairo, Egypt",Full Time
134,DevOps Engineer,Confidential -,"6th of October, Giza, Egypt",Full Time
135,Computer Vision Engineer,Beyond Apps Group -,"Nasr City, Cairo, Egypt",Internship
136,Sr. VOIP Network Engineer,Target Recruitment  & HR Solutions  -,"Cairo, Egypt",Full Time
137,System Analyst,360Imaging -,"Dokki, Giza, Egypt",Full Time
138,Devops Engineer,Synapse Analytics -,"Cairo, Egypt",Full Time
139,Senior Odoo Developer,Blue Ribbon -,"New Cairo, Cairo, Egypt",Full Time
140,Senior BI Developer,Centro CDX -,"Maadi, Cairo, Egypt",Full Time
141,Backend Developer,Paymint -,"Cairo, Egypt",Full Time
142,Lead Testing Automation Engineer - L2,ITWORX -,"Nasr City, Cairo, Egypt",Full Time
143,TSS / Care Engineer Lead,Viavi Solutions -,"Maadi, Cairo, Egypt",Full Time
144,Programming / Computer Science Instructor for Students,Edu-Zone -,"Cairo, Egypt",Full Time
145,Open Source Database Team Lead - Giza,e-finance -,"6th of October, Giza, Egypt",Part Time
146,Software Quality Assurance Team leader,ZINAD IT -,"6th of October, Giza, Egypt",Full Time
147,Back End Software Developer,Zewail City -,"6th of October, Giza, Egypt",Full Time
148,Senior RPA Developer (UiPath),Tafeel -,"Nasr City, Cairo, Egypt",Full Time
149,Front End Web Developer,RAQAMYAT -,"Maadi, Cairo, Egypt",Full Time
150,Automation Test Engineer,Sceel.io -,"Maadi, Cairo, Egypt",Full Time
151,Content Writer,Perfect Presentation -,"6th of October, Giza, Egypt",Work From Home
152,Senior DevOps Engineer,Paymob Solutions -,"Maadi, Cairo, Egypt",Full Time
153,React Front End Web Developer - (Alexandria),Procrew -,"Alexandria, Egypt",Full Time
154,Software Development Team Manager,International Advanced  -,"Nasr City, Cairo, Egypt",Work From Home
155,Technical Writer,Perfect Presentation -,"6th of October, Giza, Egypt",Full Time
156,Robotics Hardware Engineer,Icity -,"Maadi, Cairo, Egypt",Work From Home
157,Senior IoT Engineer,Icity -,"Maadi, Cairo, Egypt",Full Time
158,Full Stack Developer,SEOS7 -,"6th of October, Giza, Egypt",Full Time
159,Regular C++ Test Automation Engineer - Cairo,Luxoft (A DXC Technology Company) -,"Cairo, Egypt",Full Time
160,Technical Lead (Back End),LxT -,"Mohandessin, Giza, Egypt",Full Time
161,Software Tester,Confidential -,"Nasr City, Cairo, Egypt",Work From Home
162,Full Stack Developer,Egyptian Medical Syndicates Union -,"Garden City, Cairo, Egypt",Full Time
163,Senior Technical Support Engineer,Viavi Solutions -,"Maadi, Cairo, Egypt",Full Time
164,Security Engineer – Data & Analytics (Work From Home),SSC Egypt -,"Cairo, Egypt",Full Time
165,Senior Backend Developer,HOLOULYIT -,"New Cairo, Cairo, Egypt",Full Time
166,IT Application Development and Support Engineer,American International School -,"Sheikh Zayed, Giza, Egypt",Full Time
167,Devops Engineer,Agile Technologies  -,"Maadi, Cairo, Egypt",Full Time
168,GIS Technical Writer,Confidential -,"Heliopolis, Cairo, Egypt",Shift Based
169,Unity Instructor,iSchool -,"Nasr City, Cairo, Egypt",Full Time
170,Coding Coach,iSchool -,"Nasr City, Cairo, Egypt",Full Time
171,DevOps/ProdOPS Engineer.,Cegedim -,"New Cairo, Cairo, Egypt",Part Time
172,Senior Angular Engineer,Evolvice GmbH -,"Maadi, Cairo, Egypt",Part Time
173,Web Developer,LavaLoon -,"Nasr City, Cairo, Egypt",Full Time
174,Senior RPA Developer,Centro CDX -,"Maadi, Cairo, Egypt",Full Time
175,Development Team Leader,Bevatel -,"Dokki, Giza, Egypt",Full Time
176,Full Stack Developer (.Net Core & Angular),SmartTech Systems -,"Nasr City, Cairo, Egypt",Full Time
177,DevOps Operations Specialist,B.TECH -,"Nasr City, Cairo, Egypt",Work From Home
178,DevOps Operations Manager,B.TECH -,"Nasr City, Cairo, Egypt",Full Time
179,Full Stack Web Developer - For Multinational,Popul8IT -,"Cairo, Egypt",Full Time
